instId,lastPr,open24h,high24h,low24h,change24h,bidPr,askPr,bidSz,askSz,baseVolume,quoteVolume,openUtc,changeUtc24h,ts,channel,type,ts_recv
ETHUSDT,2739.17,2534.53,2797.6,2527.2,0.08133,2739.16,2739.17,9.6936,3.1168,309218.1146,830458074.4488,2680.12,0.02203,1749565398793,ticker,SPOT,2025-06-10T21:23:18.804920
XRPUSDT,2.2843,2.2626,2.3293,2.2495,0.01340,2.2843,2.2844,5627.8509,2099.6059,37188133.5373,85402720.6605,2.3206,-0.01564,1749565398793,ticker,SPOT,2025-06-10T21:23:18.805068
BTCUSDT,108976.42,107633.51,110500,107508.08,0.01299,108976.42,108976.43,0.590095,0.118904,6888.892908,752093469.590399,110238.91,-0.01145,1749565398795,ticker,SPOT,2025-06-10T21:23:18.805239
AVAXUSDT,21.97,21.03,22.47,20.86,0.05220,21.96,21.97,244.189,155.986,476958.9296,10414474.1573,21.95,0.00091,1749565398797,ticker,SPOT,2025-06-10T21:23:18.805397
DOTUSDT,4.23,4.02,4.306,4.005,0.05302,4.23,4.231,79.4495,117.5,1257485.2687,5236730.2137,4.152,0.01879,1749565398799,ticker,SPOT,2025-06-10T21:23:18.805550
ADAUSDT,0.6971,0.6737,0.7155,0.6683,0.03998,0.6971,0.6972,4816.574,2500,26059646.654,18163633.143,0.7047,-0.01078,1749565398806,ticker,SPOT,2025-06-10T21:23:18.805734
TRXUSDT,0.2931,0.2837,0.2941,0.282,0.03826,0.293,0.2931,141155.16,948.3567,46130879.7917,13294101.3537,0.2869,0.02161,1749565399119,ticker,SPOT,2025-06-10T21:23:19.116373
BTCUSDT,108976.43,107633.51,110500,107508.08,0.01299,108976.42,108976.43,0.850095,0.33779,6888.938833,752098474.332947,110238.91,-0.01145,1749565399121,ticker,SPOT,2025-06-10T21:23:19.118279
LINKUSDT,15.05,13.92,15.34,13.86,0.08196,15.04,15.05,961.9093,389.2549,845279.3956,12402197.9072,14.35,0.04878,1749565399121,ticker,SPOT,2025-06-10T21:23:19.118395
ETHUSDT,2739.17,2534.53,2797.6,2527.2,0.08133,2739.16,2739.17,8.9239,2.8789,309218.7858,830459912.9732,2680.12,0.02203,1749565399122,ticker,SPOT,2025-06-10T21:23:19.118478
XRPUSDT,2.2844,2.2626,2.3293,2.2495,0.01344,2.2843,2.2844,5752.6569,2066.9313,37188133.5373,85402720.6605,2.3206,-0.01564,1749565399122,ticker,SPOT,2025-06-10T21:23:19.118560
BNBUSDT,661.7,656.6,668,654.6,0.01038,661.7,661.8,3.6554,0.8839,5213.911,3453642.1336,665.6,-0.00586,1749565399124,ticker,SPOT,2025-06-10T21:23:19.122728
SOLUSDT,158.22,155.02,161.95,153.74,0.02521,158.21,158.22,30.1733,16.2347,982784.7091,155739110.3559,161.12,-0.01800,1749565399124,ticker,SPOT,2025-06-10T21:23:19.122829
AVAXUSDT,21.96,21.03,22.47,20.86,0.05172,21.96,21.97,244.189,155.986,476978.3264,10414900.1111,21.95,0.00046,1749565399128,ticker,SPOT,2025-06-10T21:23:19.122908
DOTUSDT,4.23,4.02,4.306,4.005,0.05302,4.23,4.231,79.4495,117.5,1257485.2687,5236730.2137,4.152,0.01879,1749565399130,ticker,SPOT,2025-06-10T21:23:19.122985
ADAUSDT,0.6971,0.6737,0.7155,0.6683,0.03998,0.6971,0.6972,4816.574,2544.907,26059646.654,18163633.143,0.7047,-0.01078,1749565399136,ticker,SPOT,2025-06-10T21:23:19.130802
TRXUSDT,0.2931,0.2837,0.2941,0.282,0.03826,0.293,0.2931,141155.16,948.3567,46130879.7917,13294101.3537,0.2869,0.02161,1749565399403,ticker,SPOT,2025-06-10T21:23:19.397568
LINKUSDT,15.05,13.92,15.34,13.86,0.08196,15.04,15.05,961.9093,389.2549,845279.3956,12402197.9072,14.35,0.04878,1749565399403,ticker,SPOT,2025-06-10T21:23:19.397674
BTCUSDT,108976.43,107633.51,110500,107508.08,0.01299,108976.42,108976.43,0.850095,0.11849,6888.938833,752098474.332947,110238.91,-0.01145,1749565399405,ticker,SPOT,2025-06-10T21:23:19.397761
ETHUSDT,2739.16,2534.53,2797.6,2527.2,0.08133,2739.16,2739.17,9.1589,0.2525,309219.6282,830462220.4494,2680.12,0.02203,1749565399407,ticker,SPOT,2025-06-10T21:23:19.397844
XRPUSDT,2.2844,2.2626,2.3293,2.2495,0.01344,2.2843,2.2844,5752.6569,1324.4313,37188259.9262,85403009.3833,2.3206,-0.01560,1749565399410,ticker,SPOT,2025-06-10T21:23:19.401379
SOLUSDT,158.21,155.02,161.95,153.74,0.02514,158.21,158.22,33.1733,4.1264,982786.0291,155739319.1931,161.12,-0.01806,1749565399412,ticker,SPOT,2025-06-10T21:23:19.401487
BNBUSDT,661.7,656.6,668,654.6,0.01038,661.7,661.8,3.6554,0.8839,5213.911,3453642.1336,665.6,-0.00586,1749565399411,ticker,SPOT,2025-06-10T21:23:19.402908
AVAXUSDT,21.96,21.03,22.47,20.86,0.05172,21.96,21.97,244.189,155.986,476978.3264,10414900.1111,21.95,0.00046,1749565399417,ticker,SPOT,2025-06-10T21:23:19.410228
ADAUSDT,0.6971,0.6737,0.7155,0.6683,0.03998,0.6971,0.6972,4816.574,2426.492,26059646.654,18163633.143,0.7047,-0.01078,1749565399416,ticker,SPOT,2025-06-10T21:23:19.410397
DOTUSDT,4.23,4.02,4.306,4.005,0.05302,4.23,4.231,79.4495,117.5,1257485.2687,5236730.2137,4.152,0.01879,1749565399418,ticker,SPOT,2025-06-10T21:23:19.410491
